portname,week,avg_daily_transits,avg_daily_capacity
Ombai Strait,2026-01-26T00:00:00.000Z,9.142857142857142,701070.1428571428
Ombai Strait,2026-04-13T00:00:00.000Z,7.571428571428571,640555.4285714285
Ombai Strait,2026-06-29T00:00:00.000Z,8.714285714285714,815622.8571428572
Torres Strait,2019-03-25T00:00:00.000Z,8.428571428571429,185727.2857142857
Torres Strait,2019-05-20T00:00:00.000Z,7.857142857142857,140305.85714285713
Torres Strait,2019-06-24T00:00:00.000Z,9.428571428571429,176955.0
Torres Strait,2019-08-12T00:00:00.000Z,7.285714285714286,146498.14285714287
Torres Strait,2019-12-16T00:00:00.000Z,9.428571428571429,164023.0
Torres Strait,2020-02-03T00:00:00.000Z,9.285714285714286,211620.2857142857
Torres Strait,2021-04-26T00:00:00.000Z,9.571428571428571,198042.0
Torres Strait,2021-10-11T00:00:00.000Z,9.0,179905.85714285713
Torres Strait,2022-11-14T00:00:00.000Z,9.142857142857142,160961.2857142857
Torres Strait,2023-06-12T00:00:00.000Z,11.285714285714286,266293.0
Torres Strait,2023-11-27T00:00:00.000Z,9.0,144162.2857142857
Torres Strait,2024-04-08T00:00:00.000Z,8.714285714285714,165465.57142857142
Torres Strait,2024-07-01T00:00:00.000Z,9.857142857142858,200856.14285714287
Torres Strait,2024-12-30T00:00:00.000Z,8.0,198400.14285714287
Torres Strait,2025-03-03T00:00:00.000Z,8.714285714285714,149149.2857142857
Torres Strait,2025-03-31T00:00:00.000Z,10.142857142857142,199501.85714285713
Torres Strait,2025-07-21T00:00:00.000Z,9.428571428571429,235096.57142857142
Torres Strait,2025-09-29T00:00:00.000Z,10.714285714285714,230961.42857142858
Torres Strait,2025-11-24T00:00:00.000Z,10.714285714285714,297056.0
Torres Strait,2026-02-23T00:00:00.000Z,9.857142857142858,234636.7142857143
Torres Strait,2026-04-27T00:00:00.000Z,9.142857142857142,224925.7142857143
Magellan Strait,2018-12-31T00:00:00.000Z,2.8333333333333335,70696.33333333333
Magellan Strait,2019-03-11T00:00:00.000Z,3.4285714285714284,62330.42857142857
Magellan Strait,2019-09-30T00:00:00.000Z,4.285714285714286,139095.2857142857
Magellan Strait,2020-03-16T00:00:00.000Z,3.5714285714285716,57842.0
Magellan Strait,2020-06-29T00:00:00.000Z,3.4285714285714284,51006.0
Magellan Strait,2020-08-17T00:00:00.000Z,4.428571428571429,94504.0
Magellan Strait,2020-11-02T00:00:00.000Z,3.142857142857143,69467.0
Magellan Strait,2021-01-18T00:00:00.000Z,1.7142857142857142,43931.42857142857
Magellan Strait,2021-01-25T00:00:00.000Z,2.7142857142857144,47652.142857142855
Magellan Strait,2021-03-08T00:00:00.000Z,2.857142857142857,145620.42857142858
Magellan Strait,2021-03-29T00:00:00.000Z,3.5714285714285716,72364.28571428571
Magellan Strait,2021-08-23T00:00:00.000Z,3.4285714285714284,137320.57142857142
Magellan Strait,2022-01-24T00:00:00.000Z,4.142857142857143,104216.42857142857
Magellan Strait,2022-02-07T00:00:00.000Z,4.571428571428571,149316.7142857143
Magellan Strait,2022-02-28T00:00:00.000Z,4.285714285714286,152796.0
Magellan Strait,2023-01-02T00:00:00.000Z,3.7142857142857144,122873.85714285714
Magellan Strait,2023-01-30T00:00:00.000Z,3.5714285714285716,111201.42857142857
Magellan Strait,2023-05-08T00:00:00.000Z,4.285714285714286,135253.85714285713
Magellan Strait,2023-11-06T00:00:00.000Z,4.0,104238.42857142857
Magellan Strait,2023-12-11T00:00:00.000Z,7.0,179257.0
Magellan Strait,2024-09-09T00:00:00.000Z,4.714285714285714,184048.85714285713
Magellan Strait,2024-12-23T00:00:00.000Z,4.0,139635.7142857143
Magellan Strait,2025-08-11T00:00:00.000Z,4.857142857142857,164243.7142857143
Magellan Strait,2026-01-19T00:00:00.000Z,3.7142857142857144,145105.14285714287
Magellan Strait,2026-06-22T00:00:00.000Z,4.714285714285714,162107.0
Balabac Strait,2018-12-31T00:00:00.000Z,13.333333333333334,324155.8333333333
Balabac Strait,2019-03-18T00:00:00.000Z,11.857142857142858,273516.5714285714
Balabac Strait,2019-04-01T00:00:00.000Z,11.857142857142858,316173.5714285714
Balabac Strait,2019-07-08T00:00:00.000Z,12.428571428571429,267871.14285714284
Balabac Strait,2019-08-26T00:00:00.000Z,10.857142857142858,235533.42857142858
Balabac Strait,2019-10-21T00:00:00.000Z,12.142857142857142,361570.71428571426
Balabac Strait,2019-11-18T00:00:00.000Z,15.714285714285714,345706.5714285714
Balabac Strait,2020-04-06T00:00:00.000Z,9.428571428571429,236570.0
Balabac Strait,2020-05-18T00:00:00.000Z,10.571428571428571,207113.2857142857
Balabac Strait,2020-06-15T00:00:00.000Z,9.428571428571429,167933.85714285713
Balabac Strait,2020-08-17T00:00:00.000Z,9.571428571428571,327874.28571428574
Balabac Strait,2020-11-02T00:00:00.000Z,8.142857142857142,167998.14285714287
Balabac Strait,2021-02-22T00:00:00.000Z,11.428571428571429,337217.28571428574
Balabac Strait,2022-01-24T00:00:00.000Z,8.142857142857142,156433.14285714287
