rel,coef,pct,ci_low_pct,ci_high_pct,is_reference
-52,0.0,0.0,0.0,0.0,True
-51,-0.1092487621116302,-10.349262731028542,-19.08594987496458,-0.6692325937178722,False
-50,-0.057354505597654815,-5.574073517003109,-14.261107300333686,3.9931274060766464,False
-49,-0.13006209679631534,-12.19590942996197,-18.06239562021291,-5.909400461636071,False
-48,-0.05406133868555163,-5.262600595597478,-10.432961096193017,0.20622492107198465,False
-47,-0.09251556380031359,-8.836497765139907,-15.302399885516637,-1.8769820102117585,False
-46,-0.0754668128746609,-7.268949520670775,-14.389548124952034,0.44390065304846793,False
-45,-0.0873625162399001,-8.365515447409077,-14.62527865065255,-1.6467799073735412,False
-44,-0.07326331002732898,-7.064391097137301,-18.0633346203283,5.411019134404249,False
-43,-0.07107227085961625,-6.860542299156169,-11.766138747223865,-1.6822061549036649,False
-42,-0.11029195959787298,-10.44273739004562,-16.482240011736447,-3.9664942245167367,False
-41,-0.10157379881797389,-9.658549404063777,-15.488766736735847,-3.426120047810155,False
-40,-0.08103213534014027,-7.783594308718134,-16.814884766956716,2.228210597478708,False
-39,-0.060139668949619834,-5.836699249367783,-13.078010720553424,2.0078725965217314,False
-38,-0.08844680643558622,-8.464819973405003,-15.138271586461382,-1.2665740005780801,False
-37,-0.08582964633492857,-8.224943992429356,-13.693636664127995,-2.409734582201206,False
-36,-0.05469432865226693,-5.322549443381918,-15.01595269260475,5.476497388714474,False
-35,0.031944035772140646,3.2459722877072217,-4.8094883691425565,11.983123223160575,False
-34,-0.0028037169347438135,-0.2799790191101881,-7.185039238510605,7.138789941234158,False
-33,0.005519783886241957,0.5535045961514884,-7.4559986951697965,9.25621481681631,False
-32,-0.0021734439299313443,-0.2171083710917343,-6.883738139561569,6.926816679446679,False
-31,-0.025155092015369165,-2.4841339022315,-10.171361457312555,5.860940286643479,False
-30,-0.0015875995297861545,-0.15863399603047723,-10.437326607987318,11.299696491949351,False
-29,-0.0008207254251756391,-0.0820388722183707,-16.337369707697036,19.331640913653892,False
-28,-0.01952498946583087,-1.9335611396766317,-11.837237546270462,9.082634925293377,False
-27,-0.11639521300464449,-10.98766345571085,-17.75278384337966,-3.6660883210205664,False
-26,-0.0031124567750160726,-0.31076181027823724,-8.741712833329373,8.899087626932989,False
-25,-0.02853942585869526,-2.813602318102637,-9.595802417460975,4.477404224073145,False
-24,-0.07523283154558907,-7.247249647649834,-13.000258275946685,-1.113813358059046,False
